gbifID,species,decimalLatitude,decimalLongitude,phylumKey,classKey,orderKey,familyKey,geodeticDatum,eventDate,geometry
3983020373,Crepipatella dilatata,-43.684495,-72.814158,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814158 -43.684495)
3983020374,Crepipatella dilatata,-43.684495,-72.814158,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814158 -43.684495)
3983020352,Crepipatella dilatata,-43.684495,-72.814158,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814158 -43.684495)
3983020353,Crepipatella dilatata,-43.684495,-72.814158,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814158 -43.684495)
3983020356,Crepipatella dilatata,-43.684485,-72.814145,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814145 -43.684485)
3983020358,Crepipatella dilatata,-43.684485,-72.814145,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814145 -43.684485)
3983020359,Crepipatella dilatata,-43.684485,-72.814145,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814145 -43.684485)
3983020361,Crepipatella dilatata,-43.684485,-72.814143,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814143 -43.684485)
3983020342,Crepipatella dilatata,-43.684485,-72.814143,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814143 -43.684485)
3983020345,Crepipatella dilatata,-43.684485,-72.814143,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814143 -43.684485)
3983020346,Crepipatella dilatata,-43.684485,-72.814138,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814138 -43.684485)
3983020326,Crepipatella dilatata,-43.684485,-72.814134,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814134 -43.684485)
3983020327,Crepipatella dilatata,-43.684485,-72.814134,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.814134 -43.684485)
3983065341,Crepipatella dilatata,-43.710711,-72.815935,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815935 -43.710711)
3983078231,Crepipatella dilatata,-43.710796,-72.815662,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815662 -43.710796)
3983078250,Crepipatella dilatata,-43.710796,-72.815659,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815659 -43.710796)
3983078247,Crepipatella dilatata,-43.710796,-72.815659,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815659 -43.710796)
3983078244,Crepipatella dilatata,-43.710796,-72.815643,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815643 -43.710796)
3983078245,Crepipatella dilatata,-43.710796,-72.815634,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815634 -43.710796)
3983078260,Crepipatella dilatata,-43.710796,-72.815634,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815634 -43.710796)
3983078259,Crepipatella dilatata,-43.710796,-72.815634,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815634 -43.710796)
3983078258,Crepipatella dilatata,-43.710795,-72.815613,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815613 -43.710795)
3983078257,Crepipatella dilatata,-43.710795,-72.815613,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815613 -43.710795)
3983078254,Crepipatella dilatata,-43.710795,-72.81561,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.81561 -43.710795)
3983078253,Crepipatella dilatata,-43.710795,-72.81561,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.81561 -43.710795)
3983078252,Crepipatella dilatata,-43.710795,-72.815609,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815609 -43.710795)
3983078251,Crepipatella dilatata,-43.710795,-72.815609,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815609 -43.710795)
3983078255,Crepipatella dilatata,-43.710795,-72.815609,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815609 -43.710795)
3983078266,Crepipatella dilatata,-43.710795,-72.815609,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815609 -43.710795)
3983078265,Crepipatella dilatata,-43.710795,-72.815609,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815609 -43.710795)
3983078270,Crepipatella dilatata,-43.710795,-72.815609,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815609 -43.710795)
3983078269,Crepipatella dilatata,-43.710795,-72.815609,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815609 -43.710795)
3983078267,Crepipatella dilatata,-43.710795,-72.815594,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815594 -43.710795)
3983078261,Crepipatella dilatata,-43.710795,-72.815594,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815594 -43.710795)
3983078275,Crepipatella dilatata,-43.710795,-72.815591,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815591 -43.710795)
3983078280,Crepipatella dilatata,-43.710795,-72.815588,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815588 -43.710795)
3983078279,Crepipatella dilatata,-43.710795,-72.815585,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815585 -43.710795)
3983078273,Crepipatella dilatata,-43.710795,-72.815585,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815585 -43.710795)
3983078272,Crepipatella dilatata,-43.710785,-72.815573,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815573 -43.710785)
3983078286,Crepipatella dilatata,-43.710785,-72.815573,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815573 -43.710785)
3983078285,Crepipatella dilatata,-43.710785,-72.815573,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815573 -43.710785)
